Model,MSE,RMSE,MAE,R2
AdaBoostRegressor,8965733709.156282,94687.5583651637,81793.37458981792,0.28806793318523993
BaggingRegressor,3919382626.6720834,62604.97285896771,42010.59716666667,0.6887779333447208
BayesianRidge,4363571123.879611,66057.33209780433,49622.04423100072,0.6535067502903609
DecisionTreeRegressor,6592926258.045,81196.83650269265,53455.545,0.4764828212047154
DummyRegressor,12645870717.020845,112453.86039181067,88776.34972777778,-0.004156622123024034
ElasticNet,11436989865.59879,106943.86315071468,84172.21415986074,0.09183563807613404
ElasticNetCV,12602490333.079414,112260.8138803537,88614.98639032085,-0.0007119641172768088
ExtraTreeRegressor,8314114826.376667,91181.76805906248,62612.21,0.3398103106684177
ExtraTreesRegressor,3715279301.8845506,60953.090995326485,42909.50115,0.7049849395500642
GammaRegressor,11979348743.98627,109450.21125601481,86005.53001178223,0.04876914850915015
GaussianProcessRegressor,370652876819.96826,608812.6779395845,226476.80447916666,-28.43202165326289
GradientBoostingRegressor,3514055731.7109485,59279.47141895707,41000.31188320479,0.7209632762766207
HistGradientBoostingRegressor,3213333722.2033896,56686.27454863646,37963.17829022578,0.744842375155808
HuberRegressor,4585531053.290556,67716.54933094683,49005.824743967576,0.6358818244982627
KNeighborsRegressor,4553382464.414599,67478.75565253556,48415.46433333334,0.6384346118178619
KernelRidge,4651842490.973505,68204.41694621768,51006.89978578073,0.630616305756069
Lars,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
Lasso,4367777737.989394,66089.16505743883,49657.51174495397,0.6531727203520846
LassoCV,4362692414.749636,66050.6806531896,49602.46262821206,0.653576524971087
LassoLars,4367780709.365308,66089.18753748837,49657.51852980386,0.653172484407335
LassoLarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LassoLarsIC,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LinearRegression,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
LinearSVR,50171873761.46247,223990.78945675975,194019.7846493144,-2.9839423009506856
MLPRegressor,51453743919.48867,226834.1771415601,197227.68104257414,-3.0857303420186195
NuSVR,12604758408.356276,112270.91523790245,86365.64263369661,-0.0008920626537636256
OrthogonalMatchingPursuit,6385624086.154005,79910.10002592918,60552.14090845901,0.4929438347120454
OrthogonalMatchingPursuitCV,5133074270.210584,71645.47627178274,53064.420302617415,0.5924036679148055
PassiveAggressiveRegressor,6546675238.32915,80911.52722776373,58776.73782501798,0.48015542459967997
PoissonRegressor,3825369148.152695,61849.56869819461,44713.20471524809,0.6962431573009487
QuantileRegressor,13016163920.036667,114088.40396831164,84643.87,-0.03356008355767304
RANSACRegressor,4863857671.667764,69741.36270297393,50946.937779162065,0.6137810515890152
RandomForestRegressor,3402937062.689482,58334.69861659939,39915.4253,0.7297867531123612
Ridge,4331185281.62887,65811.74121407873,49290.09441713521,0.6560783769253968
RidgeCV,4361653511.984067,66042.81574845266,49605.00740401707,0.653659019970058
SGDRegressor,4446152951.568295,66679.47923888049,49748.74942850684,0.6469492667452381
SVR,13012027969.793665,114070.27645181572,84591.04594457279,-0.033231664746646405
TransformedTargetRegressor,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
TweedieRegressor,11992814644.23663,109511.71007813104,86309.43944449011,0.04769987671191078
XGBRegressor,3186794752.0,56451.702826398425,37782.61328125,0.7469497323036194
LGBMRegressor,3208431252.5758357,56643.01592055137,37884.82027455582,0.7452316601209499
