Model,MSE,RMSE,MAE,R2
AdaBoostRegressor,8309261619.650478,91155.15136102006,77439.23955819682,0.3401956838690211
BaggingRegressor,3816556677.4784503,61778.28645631449,42619.22983333333,0.6969429193800357
BayesianRidge,4363571123.879611,66057.33209780433,49622.04423100072,0.6535067502903609
DecisionTreeRegressor,6411846092.373333,80074.00384877312,52703.87333333334,0.49086165296436635
DummyRegressor,12645870717.020845,112453.86039181067,88776.34972777778,-0.004156622123024034
ElasticNet,11436989865.59879,106943.86315071468,84172.21415986074,0.09183563807613404
ElasticNetCV,12602490333.079414,112260.8138803537,88614.98639032085,-0.0007119641172768088
ExtraTreeRegressor,8437622578.046667,91856.5325823192,65277.04666666667,0.33000306769573506
ExtraTreesRegressor,3704286572.4503026,60862.850512034864,43029.43763333333,0.7058578270169391
GammaRegressor,11979348743.98627,109450.21125601481,86005.53001178223,0.04876914850915015
GaussianProcessRegressor,370652876819.96826,608812.6779395845,226476.80447916666,-28.43202165326289
GradientBoostingRegressor,3508003329.490823,59228.39968706586,40943.66552969418,0.7214438726629899
HistGradientBoostingRegressor,3213333722.2033896,56686.27454863646,37963.17829022578,0.744842375155808
HuberRegressor,4585531053.290556,67716.54933094683,49005.824743967576,0.6358818244982627
KNeighborsRegressor,4553382464.414599,67478.75565253556,48415.46433333334,0.6384346118178619
KernelRidge,4651842490.973505,68204.41694621768,51006.89978578073,0.630616305756069
Lars,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
Lasso,4367777737.989394,66089.16505743883,49657.51174495397,0.6531727203520846
LassoCV,4362692414.749636,66050.6806531896,49602.46262821206,0.653576524971087
LassoLars,4367780709.365308,66089.18753748837,49657.51852980386,0.653172484407335
LassoLarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LassoLarsIC,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LinearRegression,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
LinearSVR,50171873761.46247,223990.78945675975,194019.7846493144,-2.9839423009506865
MLPRegressor,51271272819.76977,226431.60737796692,196779.6673480249,-3.0712410619026853
NuSVR,12604758408.356276,112270.91523790245,86365.64263369661,-0.0008920626537636256
OrthogonalMatchingPursuit,6385624086.154005,79910.10002592918,60552.14090845901,0.4929438347120454
OrthogonalMatchingPursuitCV,5133074270.210584,71645.47627178274,53064.420302617415,0.5924036679148055
PassiveAggressiveRegressor,6546104620.215585,80908.00096539022,58777.23336368687,0.48020073503897376
PoissonRegressor,3825369148.152695,61849.56869819461,44713.20471524809,0.6962431573009487
QuantileRegressor,13016163920.036667,114088.40396831164,84643.87,-0.03356008355767304
RANSACRegressor,7918475816.413701,88985.81806340661,65742.00638683957,0.37122637846751216
RandomForestRegressor,3471748435.5866556,58921.5447488154,39993.087550000004,0.7243227247889441
Ridge,4331185281.62887,65811.74121407873,49290.09441713521,0.6560783769253968
RidgeCV,4361653511.984067,66042.81574845266,49605.00740401707,0.653659019970058
SGDRegressor,4367456322.802873,66086.73333433022,49363.46608596632,0.6531982426111065
SVR,13012027969.793665,114070.27645181572,84591.04594457279,-0.033231664746646405
TransformedTargetRegressor,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
TweedieRegressor,11992814644.23663,109511.71007813104,86309.43944449011,0.04769987671191078
XGBRegressor,3186794752.0,56451.702826398425,37782.61328125,0.7469497323036194
LGBMRegressor,3208431252.5758357,56643.01592055137,37884.82027455582,0.7452316601209499
