Model,MSE,RMSE,MAE,R2
AdaBoostRegressor,7537923935.513955,86821.21823329799,73622.73078234328,0.401444439352202
BaggingRegressor,3986517615.666984,63138.87562878345,43146.41583333333,0.6834470197774447
BayesianRidge,4363571123.879611,66057.33209780433,49622.04423100072,0.6535067502903609
DecisionTreeRegressor,7076667592.383333,84122.93143004073,55422.71666666667,0.43807090990653474
DummyRegressor,12645870717.020845,112453.86039181067,88776.34972777778,-0.004156622123024034
ElasticNet,11436989865.59879,106943.86315071468,84172.21415986074,0.09183563807613404
ElasticNetCV,12602490333.079414,112260.8138803537,88614.98639032085,-0.0007119641172768088
ExtraTreeRegressor,8650739739.72,93009.35296904284,64729.05333333334,0.31308030974801215
ExtraTreesRegressor,3709676853.5331445,60907.11660826791,43042.607599999996,0.7054298069489215
GammaRegressor,11979348743.98627,109450.21125601481,86005.53001178223,0.04876914850915015
GaussianProcessRegressor,370652876819.96826,608812.6779395845,226476.80447916666,-28.43202165326289
GradientBoostingRegressor,3510388699.7835402,59248.533313353335,40970.483077135315,0.7212544602113488
HistGradientBoostingRegressor,3213333722.2033896,56686.27454863646,37963.17829022578,0.744842375155808
HuberRegressor,4585531053.290556,67716.54933094683,49005.824743967576,0.6358818244982627
KNeighborsRegressor,4553382464.414599,67478.75565253556,48415.46433333334,0.6384346118178619
KernelRidge,4651842490.973505,68204.41694621768,51006.89978578073,0.630616305756069
Lars,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
Lasso,4367777737.989394,66089.16505743883,49657.51174495397,0.6531727203520846
LassoCV,4362692414.749636,66050.6806531896,49602.46262821206,0.653576524971087
LassoLars,4367780709.365308,66089.18753748837,49657.51852980386,0.653172484407335
LassoLarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LassoLarsIC,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LinearRegression,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
LinearSVR,50171873761.46247,223990.78945675975,194019.7846493144,-2.9839423009506856
MLPRegressor,51414705287.64062,226748.109777437,197132.24494614257,-3.0826304447030415
NuSVR,12604758408.356276,112270.91523790245,86365.64263369661,-0.0008920626537636256
OrthogonalMatchingPursuit,6385624086.154005,79910.10002592918,60552.14090845901,0.4929438347120454
OrthogonalMatchingPursuitCV,5133074270.210584,71645.47627178274,53064.420302617415,0.5924036679148055
PassiveAggressiveRegressor,6546439653.040893,80910.07139436285,58777.00998547311,0.48017413145922105
PoissonRegressor,3825369148.152695,61849.56869819461,44713.20471524809,0.6962431573009487
QuantileRegressor,13016163920.036667,114088.40396831164,84643.87,-0.03356008355767304
RANSACRegressor,5682866789.057509,75384.79149707525,54463.3778324758,0.5487469035094281
RandomForestRegressor,3508969708.1060715,59236.55719322377,40288.730716666665,0.7213671365087388
Ridge,4331185281.62887,65811.74121407873,49290.09441713521,0.6560783769253968
RidgeCV,4361653511.984067,66042.81574845266,49605.00740401707,0.653659019970058
SGDRegressor,4390782223.418921,66262.9777735571,49391.975772874284,0.6513460287070798
SVR,13012027969.793665,114070.27645181572,84591.04594457279,-0.033231664746646405
TransformedTargetRegressor,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
TweedieRegressor,11992814644.23663,109511.71007813104,86309.43944449011,0.04769987671191078
XGBRegressor,3186794752.0,56451.702826398425,37782.61328125,0.7469497323036194
LGBMRegressor,3208431252.5758357,56643.01592055137,37884.82027455582,0.7452316601209499
