Model,MSE,RMSE,MAE,R2
AdaBoostRegressor,7044755045.15181,83933.03905585577,68745.64677182175,0.4406049541292245
BaggingRegressor,3731343856.7025332,61084.726869345446,42105.34533333334,0.7037093192734609
BayesianRidge,4363571123.879611,66057.33209780433,49622.04423100072,0.6535067502903609
DecisionTreeRegressor,6319797372.706667,79497.15323649437,53100.04,0.49817086349479034
DummyRegressor,12645870717.020845,112453.86039181067,88776.34972777778,-0.004156622123024034
ElasticNet,11436989865.59879,106943.86315071468,84172.21415986074,0.09183563807613404
ElasticNetCV,12602490333.079414,112260.8138803537,88614.98639032085,-0.0007119641172768088
ExtraTreeRegressor,8029024298.725,89604.82296575894,62105.89166666667,0.36244817781509453
ExtraTreesRegressor,3695463284.6747313,60790.32229454563,42701.59805,0.7065584480375867
GammaRegressor,11979348743.98627,109450.21125601481,86005.53001178223,0.04876914850915015
GaussianProcessRegressor,370652876819.96826,608812.6779395845,226476.80447916666,-28.43202165326289
GradientBoostingRegressor,3514891786.91399,59286.5228101125,41018.42873945867,0.7208968885689349
HistGradientBoostingRegressor,3213333722.2033896,56686.27454863646,37963.17829022578,0.744842375155808
HuberRegressor,4585531053.290556,67716.54933094683,49005.824743967576,0.6358818244982627
KNeighborsRegressor,4553382464.414599,67478.75565253556,48415.46433333334,0.6384346118178619
KernelRidge,4651842490.973505,68204.41694621768,51006.89978578073,0.630616305756069
Lars,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
Lasso,4367777737.989394,66089.16505743883,49657.51174495397,0.6531727203520846
LassoCV,4362692414.749636,66050.6806531896,49602.46262821206,0.653576524971087
LassoLars,4367780709.365308,66089.18753748837,49657.51852980386,0.653172484407335
LassoLarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LassoLarsIC,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LinearRegression,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
LinearSVR,50171873761.46247,223990.78945675975,194019.7846493144,-2.9839423009506856
MLPRegressor,51422648250.00936,226765.62404828772,197150.94898321558,-3.08326116270106
NuSVR,12604758408.356276,112270.91523790245,86365.64263369661,-0.0008920626537636256
OrthogonalMatchingPursuit,6385624086.154005,79910.10002592918,60552.14090845901,0.4929438347120454
OrthogonalMatchingPursuitCV,5133074270.210584,71645.47627178274,53064.420302617415,0.5924036679148055
PassiveAggressiveRegressor,6546231011.8379,80908.78204396542,58776.37837133862,0.4801906987996851
PoissonRegressor,3825369148.152695,61849.56869819461,44713.20471524809,0.6962431573009487
QuantileRegressor,13016163920.036667,114088.40396831164,84643.87,-0.03356008355767304
RANSACRegressor,5369031356.684562,73273.67437684943,54849.7249942865,0.5736672854053123
RandomForestRegressor,3350112959.2272677,57880.16032482346,39266.18484999999,0.7339812980738165
Ridge,4331185281.62887,65811.74121407873,49290.09441713521,0.6560783769253968
RidgeCV,4361653511.984067,66042.81574845266,49605.00740401707,0.653659019970058
SGDRegressor,4394461679.537777,66290.73600087555,49537.681318597315,0.6510538582183696
SVR,13012027969.793665,114070.27645181572,84591.04594457279,-0.033231664746646405
TransformedTargetRegressor,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
TweedieRegressor,11992814644.23663,109511.71007813104,86309.43944449011,0.04769987671191078
XGBRegressor,3186794752.0,56451.702826398425,37782.61328125,0.7469497323036194
LGBMRegressor,3208431252.5758357,56643.01592055137,37884.82027455582,0.7452316601209499
