Model,MSE,RMSE,MAE,R2
BayesianRidge,4363571123.879611,66057.33209780433,49622.04423100072,0.6535067502903609
DummyRegressor,12645870717.020845,112453.86039181067,88776.34972777778,-0.004156622123024034
ElasticNet,11436989865.59879,106943.86315071468,84172.21415986074,0.09183563807613404
DecisionTreeRegressor,6826780147.378333,82624.33144890392,54616.045,0.45791344493652186
ExtraTreeRegressor,9885099269.395,99423.83652522668,66209.895,0.21506489242008497
ElasticNetCV,12602490333.079414,112260.8138803537,88614.98639032085,-0.0007119641172768088
AdaBoostRegressor,7554290702.81965,86915.42269827404,73344.50424508915,0.4001448216239708
BaggingRegressor,4050653612.4503164,63644.745364015056,42949.57783333333,0.6783542438565459
ExtraTreesRegressor,3772062954.920043,61417.122652563616,43246.33641666667,0.7004759830298004
GradientBoostingRegressor,3508253580.803668,59230.51224498796,40944.907257892024,0.7214240012347102
HuberRegressor,4585531053.290556,67716.54933094683,49005.824743967576,0.6358818244982627
KNeighborsRegressor,4553382464.414599,67478.75565253556,48415.46433333334,0.6384346118178619
GaussianProcessRegressor,370652876819.96826,608812.6779395845,226476.80447916666,-28.43202165326289
KernelRidge,4651842490.973505,68204.41694621768,51006.89978578073,0.630616305756069
Lars,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
Lasso,4367777737.989394,66089.16505743883,49657.51174495397,0.6531727203520846
LarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LassoLars,4367780709.365308,66089.18753748837,49657.51852980386,0.653172484407335
LassoLarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LassoCV,4362692414.749636,66050.6806531896,49602.46262821206,0.653576524971087
LinearRegression,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
LassoLarsIC,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LinearSVR,50171873761.46247,223990.78945675975,194019.7846493144,-2.9839423009506856
NuSVR,12604758408.356276,112270.91523790245,86365.64263369661,-0.0008920626537636256
OrthogonalMatchingPursuit,6385624086.154005,79910.10002592918,60552.14090845901,0.4929438347120454
OrthogonalMatchingPursuitCV,5133074270.210584,71645.47627178274,53064.420302617415,0.5924036679148055
PassiveAggressiveRegressor,6546909604.566718,80912.97550187311,58777.02676764677,0.48013681453994406
MLPRegressor,51502487976.80976,226941.59595986313,197347.50158413217,-3.0896009072840256
GammaRegressor,11979348743.98627,109450.21125601481,86005.53001178223,0.04876914850915015
RANSACRegressor,5179137199.98882,71966.22263248794,53039.36093469706,0.5887459999687821
HistGradientBoostingRegressor,3213333722.2033896,56686.27454863646,37963.17829022578,0.744842375155808
Ridge,4331185281.62887,65811.74121407873,49290.09441713521,0.6560783769253968
QuantileRegressor,13016163920.036667,114088.40396831164,84643.87,-0.03356008355767304
RandomForestRegressor,3443197167.4927163,58678.762491149355,40071.50916666666,0.7265898636493746
PoissonRegressor,3825369148.152695,61849.56869819461,44713.20471524809,0.6962431573009487
TransformedTargetRegressor,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
RidgeCV,4361653511.984067,66042.81574845266,49605.00740401707,0.653659019970058
TweedieRegressor,11992814644.23663,109511.71007813104,86309.43944449011,0.04769987671191078
SGDRegressor,4384852507.688244,66218.21885016422,49217.58231833668,0.6518168830635342
SVR,13012027969.793665,114070.27645181572,84591.04594457279,-0.033231664746646405
LGBMRegressor,3208431252.5758357,56643.01592055137,37884.82027455582,0.7452316601209499
XGBRegressor,3186794752.0,56451.702826398425,37782.61328125,0.7469497323036194
