Model,MSE,RMSE,MAE,R2
DecisionTreeRegressor,6273964376.71,79208.36052280087,52667.21,0.5018102733441924
DummyRegressor,12645870717.020845,112453.86039181067,88776.34972777778,-0.004156622123024034
BaggingRegressor,3841669916.9024005,61981.20615882205,41251.081666666665,0.6949487802468103
AdaBoostRegressor,9207589595.163427,95956.18580979251,82711.69913725204,0.2688631512474786
ExtraTreeRegressor,9482431364.375,97377.77654257156,65540.375,0.24703909588857442
ElasticNet,11436989865.59879,106943.86315071468,84172.21415986074,0.09183563807613404
ElasticNetCV,12602490333.079414,112260.8138803537,88614.98639032085,-0.0007119641172768088
BayesianRidge,4363571123.879611,66057.33209780433,49622.04423100072,0.6535067502903609
ExtraTreesRegressor,3817744323.466166,61787.89787220606,43481.447283333335,0.6968486132930932
GradientBoostingRegressor,3508253580.803668,59230.51224498796,40944.907257892024,0.7214240012347102
HuberRegressor,4585531053.290556,67716.54933094683,49005.824743967576,0.6358818244982627
GaussianProcessRegressor,370652876819.96826,608812.6779395845,226476.80447916666,-28.43202165326289
KNeighborsRegressor,4553382464.414599,67478.75565253556,48415.46433333334,0.6384346118178619
KernelRidge,4651842490.973505,68204.41694621768,51006.89978578073,0.630616305756069
Lars,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
Lasso,4367777737.989394,66089.16505743883,49657.51174495397,0.6531727203520846
LarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LassoLars,4367780709.365308,66089.18753748837,49657.51852980386,0.653172484407335
LassoLarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LassoCV,4362692414.749636,66050.6806531896,49602.46262821206,0.653576524971087
LinearRegression,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
LassoLarsIC,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LinearSVR,50171873761.46247,223990.78945675975,194019.7846493144,-2.9839423009506856
NuSVR,12604758408.356276,112270.91523790245,86365.64263369661,-0.0008920626537636256
OrthogonalMatchingPursuit,6385624086.154005,79910.10002592918,60552.14090845901,0.4929438347120454
OrthogonalMatchingPursuitCV,5133074270.210584,71645.47627178274,53064.420302617415,0.5924036679148055
PassiveAggressiveRegressor,6546172964.879629,80908.42332464296,58777.62889326802,0.48019530807008226
MLPRegressor,51284836368.4139,226461.55604961718,196813.67306235523,-3.072318087557562
GammaRegressor,11979348743.98627,109450.21125601481,86005.53001178223,0.04876914850915015
RANSACRegressor,5881163199.65521,76688.74232672753,55144.371277081846,0.5330010004948657
HistGradientBoostingRegressor,3213333722.2033896,56686.27454863646,37963.17829022578,0.744842375155808
Ridge,4331185281.62887,65811.74121407873,49290.09441713521,0.6560783769253968
PoissonRegressor,3825369148.152695,61849.56869819461,44713.20471524809,0.6962431573009487
SGDRegressor,4379835981.87155,66180.32926687166,49397.57236416173,0.652215224761912
QuantileRegressor,13016163920.036667,114088.40396831164,84643.87,-0.03356008355767304
TransformedTargetRegressor,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
RidgeCV,4361653511.984067,66042.81574845266,49605.00740401707,0.653659019970058
RandomForestRegressor,3479015672.390702,58983.18126712649,40379.0941,0.7237456633809465
SVR,13012027969.793665,114070.27645181572,84591.04594457279,-0.033231664746646405
LGBMRegressor,3208431252.5758357,56643.01592055137,37884.82027455582,0.7452316601209499
TweedieRegressor,11992814644.23663,109511.71007813104,86309.43944449011,0.04769987671191078
XGBRegressor,3186794752.0,56451.702826398425,37782.61328125,0.7469497323036194
