Model,MSE,RMSE,MAE,R2
DummyRegressor,12645870717.020845,112453.86039181067,88776.34972777778,-0.004156622123024034
ExtraTreeRegressor,8681267526.383333,93173.31982055449,64406.05,0.3106562236710064
ElasticNetCV,12602490333.079414,112260.8138803537,88614.98639032085,-0.0007119641172768088
BayesianRidge,4363571123.879611,66057.33209780433,49622.04423100072,0.6535067502903609
DecisionTreeRegressor,6786628344.708333,82380.99504563132,54255.708333333336,0.46110173457220427
ElasticNet,11436989865.59879,106943.86315071468,84172.21415986074,0.09183563807613404
AdaBoostRegressor,7795917731.714619,88294.49434542688,74331.04904126626,0.3809582122889392
BaggingRegressor,3615851955.19655,60131.954526662026,41420.25983333334,0.7128800565278535
HuberRegressor,4585531053.290556,67716.54933094683,49005.824743967576,0.6358818244982627
KNeighborsRegressor,4553382464.414599,67478.75565253556,48415.46433333334,0.6384346118178619
Lars,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
Lasso,4367777737.989394,66089.16505743883,49657.51174495397,0.6531727203520846
LassoLars,4367780709.365308,66089.18753748837,49657.51852980386,0.653172484407335
LassoLarsCV,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LassoLarsIC,4368133939.272991,66091.85985636197,49661.34974071864,0.6531444358720566
LinearRegression,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
LinearSVR,50171873761.46247,223990.78945675975,194019.7846493144,-2.9839423009506865
LassoCV,4362692414.749636,66050.6806531896,49602.46262821206,0.653576524971087
KernelRidge,4651842490.973505,68204.41694621768,51006.89978578073,0.630616305756069
OrthogonalMatchingPursuit,6385624086.154005,79910.10002592918,60552.14090845901,0.4929438347120454
OrthogonalMatchingPursuitCV,5133074270.210584,71645.47627178274,53064.420302617415,0.5924036679148055
NuSVR,12604758408.356276,112270.91523790245,86365.64263369661,-0.0008920626537636256
PassiveAggressiveRegressor,6545933099.714715,80906.94098601624,58776.96145603375,0.48021435477703933
QuantileRegressor,13016163920.036667,114088.40396831164,84643.87,-0.03356008355767304
MLPRegressor,51351654477.6505,226609.0344131286,196977.39117947046,-3.0776238390055317
GaussianProcessRegressor,370652876819.96826,608812.6779395845,226476.80447916666,-28.43202165326289
Ridge,4331185281.62887,65811.74121407873,49290.09441713521,0.6560783769253968
RidgeCV,4361653511.984067,66042.81574845266,49605.00740401707,0.653659019970058
RANSACRegressor,6285088384.5253105,79278.54933413773,59801.81671089098,0.5009269616006002
SGDRegressor,4373045145.281015,66129.00381285821,49416.60714164529,0.652754457186846
TransformedTargetRegressor,4368133939.27299,66091.85985636196,49661.34974071863,0.6531444358720567
ExtraTreesRegressor,3750847311.4404745,61244.16144776965,43035.14005,0.7021606300872731
SVR,13012027969.793665,114070.27645181572,84591.04594457279,-0.033231664746646405
RandomForestRegressor,3473501223.2703724,58936.41678343172,40212.84236666667,0.7241835431225199
GradientBoostingRegressor,3511992021.56998,59262.06224533517,40973.46598219224,0.7211271470175581
LGBMRegressor,3208431252.5758357,56643.01592055137,37884.82027455582,0.7452316601209499
XGBRegressor,3186794752.0,56451.702826398425,37782.61328125,0.7469497323036194
TweedieRegressor,11992814644.23663,109511.71007813104,86309.43944449011,0.04769987671191078
PoissonRegressor,3825369148.152695,61849.56869819461,44713.20471524809,0.6962431573009487
GammaRegressor,11979348743.98627,109450.21125601481,86005.53001178223,0.04876914850915015
HistGradientBoostingRegressor,3213333722.2033896,56686.27454863646,37963.17829022578,0.744842375155808
